npsn,nama_sekolah,alamat,jumlah_guru,kepala_sekolah,telp_sekolah,latitude,longitude
69832197,TK BUDAYA,Jl. Duri Utara III No. 35,4,MARIA CENDRASARI TUNGGONO,021 6313105 / 6326528,-6.152344,106.805496
69832199,TK PELITA,Jl. Pos Duri Raya No. 23 29,5,LYDIA LILIANTI,"021 6319546, 021 6314072",-6.155891,106.802055
69832204,TK DEWI SARTIKA,Jl. Tambora III/ 7 No. 6,3,"NUR HAFIZAH, S,Pd","021 6306026, 021 99906052",-6.147353,106.808426
69832230,PAUD GEMILANG RAWA BUAYA,Jl. Klingkit No. 01,1,Marsi,0857 71128961,,
69832326,BKB PAUD LESTARI,Jl. Jaya VIII,4,"Hasnah Saumi, M.Pd",,,
69856704,TK AL LATHIEF,Jl. Pekapuran IV No. 76,15,"Abu Bakar, S.Ag, MM",021 6325547,-6.149362,106.810120
69856708,TK ISLAM MISBAHUL MUNIR,Jl. Angke Indah 1 No. 13,1,"Elvi Sukaesih, S.Ag",0812 91836061,,
69856970,TK NATION FIRST SCHOOL (UTAMA BANGSA),Jl. Jembatan Tiga No.36 BE BI,9,Mery Kristina Panjaitan,021 6611071/ 72,,
69856975,TK PERSIAPAN BUNGA BANGSA,JL.Rawa Bebek No.8,3,"SITI HERAWATI,S.pd",0821 11206169,,
69856982,TK PERMAI,Jl. Pluit Karang Barat Blok O VI/1,14,"Syukur Karunia Indahwati, M.Psi.",021 6617515,,
69856994,TK KINDERFIELD,Jl. Bisma Raya Blok A No. 57,,,,,
69856997,TK SINGA,Jl. Bisma Raya Blok A No.66,8,Astrid Lestari Setiany Pardede,021 65307710,,
69856998,TK SANTO PAULUS,Jl. Danau Agung No. 13,8,Cresentiana Wagirah,021 6459107,-6.145806,106.863129
69857003,TK LEADER CASTLE,Jl. Sunter STS Blok G No. 24,7,Lilie Lalisang,021 6402324,,
69857031,TK DARMA BAKTI,Jl. Muara Bahari No.15,3,Ny Sumiyati,"0852 14152159, 0896 59692530",,
69857035,TK BENGAWAN,Jl. Bendungan Melayu No. 8,3,SETYATI,021 4351054,,
69857067,TK BAGAS,,2,"Dra. Hj. Nurleily Djanan, MM",,,
69857076,TK JAC KELAPA GADING,Jl. Pegangsaan Dua No. 75,7,ADELINA M ABARUA,021 22860988,-6.151623,106.915833
69857111,TK MAWAR II,Jl. Lestari IX No. 32,8,ALPISAR INDRASARI.SE,0821 11447231,,
69857113,TK NEGERI ROROTAN,Jl. Pinang Sari V Green Garden,8,"Anita Zainul, S.Pd",021 22441849,,
69857157,PAUD MUTIARA HATI,Jl. Moa Blok B18 No. 2B,,,,,
69864595,TK KREATIVITAS ANAK INDONESIA,Jl Kedongdong No.18,8,Andalusita Quinta Astasari Swasti Pradjadewi,021 78888913,,
69866582,TK MAMAYU RAHAYU,Jl. Tawang Mangu,2,SUPARTI,,,
69868006,TK ISLAM CAHAYA BINTANG,,1,Nizlah Panggabean,,,
69870238,TK AIUEO,Jl. Anggrek Roslina VII No.221,,,021 5308230,,
69870239,TK IT TAMAN IBADAH,Jl. Tomang Asli No.31,1,Susianie,,,
69870249,BKB PAUD KEMUNING I,Jl. Tanah Kusir II,,,,,
69870251,BKB PAUD KENANGA,Jl. Kebon Mangga II,,,,,
69875713,TK KIDEA,Jl. Dewi Sartika No. 293A,,,,,
69875714,TK ISLAM AN NUUR,Masjid An Nuur Perumahan Permata Timur,5,Khoiriyah,021 5138.5203,,
69878038,BKB PAUD ANYELIR ORANGE,Jl. Swadaya,,,,,
69878039,BKB PAUD ANGGREK 08,Jl. Cipulir VI,,,,,
69878046,BKB PAUD BLUE SAFIR,Jl. KP Pluis,,,,,
69880110,TK TZU CHI,Komp. Tzu Chi Centre,32,Iing Felicia Joe,021 50556668,,
